2026-02-12T19:20:12.120000+00:00 | 2026-02-12T16:20:12.120000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/status | inst= | err=
2026-02-12T19:20:12.125000+00:00 | 2026-02-12T16:20:12.125000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/qr | inst= | err=
2026-02-12T19:20:17.131000+00:00 | 2026-02-12T16:20:17.131000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/status | inst= | err=
2026-02-12T19:20:17.141000+00:00 | 2026-02-12T16:20:17.141000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/qr | inst= | err=
2026-02-12T19:20:22.149000+00:00 | 2026-02-12T16:20:22.149000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/status | inst= | err=
2026-02-12T19:20:22.153000+00:00 | 2026-02-12T16:20:22.153000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/qr | inst= | err=
2026-02-12T19:20:27.158000+00:00 | 2026-02-12T16:20:27.158000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/status | inst= | err=
2026-02-12T19:20:27.161000+00:00 | 2026-02-12T16:20:27.161000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/qr | inst= | err=
2026-02-12T19:20:31.389000+00:00 | 2026-02-12T16:20:31.389000-03:00 | info | whatsapp:connection | QR code expired | inst=0567bded-23f6-439f-b49f-773fa7f47419 | err=
2026-02-12T19:20:32.166000+00:00 | 2026-02-12T16:20:32.166000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/status | inst= | err=
2026-02-12T19:20:32.170000+00:00 | 2026-02-12T16:20:32.170000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/qr | inst= | err=
2026-02-12T19:20:37.176000+00:00 | 2026-02-12T16:20:37.176000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/status | inst= | err=
2026-02-12T19:20:37.179000+00:00 | 2026-02-12T16:20:37.179000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/qr | inst= | err=
2026-02-12T19:20:42.185000+00:00 | 2026-02-12T16:20:42.185000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/status | inst= | err=
2026-02-12T19:20:42.188000+00:00 | 2026-02-12T16:20:42.188000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/qr | inst= | err=
2026-02-12T19:20:47.194000+00:00 | 2026-02-12T16:20:47.194000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/status | inst= | err=
2026-02-12T19:20:47.197000+00:00 | 2026-02-12T16:20:47.197000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/qr | inst= | err=
2026-02-12T19:20:51.389000+00:00 | 2026-02-12T16:20:51.389000-03:00 | info | whatsapp:connection | QR code expired | inst=0567bded-23f6-439f-b49f-773fa7f47419 | err=
2026-02-12T19:20:52.202000+00:00 | 2026-02-12T16:20:52.202000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/status | inst= | err=
2026-02-12T19:20:52.206000+00:00 | 2026-02-12T16:20:52.206000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/qr | inst= | err=
2026-02-12T19:20:57.212000+00:00 | 2026-02-12T16:20:57.212000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/status | inst= | err=
2026-02-12T19:20:57.215000+00:00 | 2026-02-12T16:20:57.215000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/qr | inst= | err=
2026-02-12T19:21:02.223000+00:00 | 2026-02-12T16:21:02.223000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/status | inst= | err=
2026-02-12T19:21:02.228000+00:00 | 2026-02-12T16:21:02.228000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/qr | inst= | err=
2026-02-12T19:21:07.235000+00:00 | 2026-02-12T16:21:07.235000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/status | inst= | err=
2026-02-12T19:21:07.239000+00:00 | 2026-02-12T16:21:07.239000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/qr | inst= | err=
2026-02-12T19:21:11.391000+00:00 | 2026-02-12T16:21:11.391000-03:00 | info | whatsapp:connection | QR code expired | inst=0567bded-23f6-439f-b49f-773fa7f47419 | err=
2026-02-12T19:21:11.391000+00:00 | 2026-02-12T16:21:11.391000-03:00 | warn | whatsapp:connection | Max QR cycles reached, stopping | inst=0567bded-23f6-439f-b49f-773fa7f47419 | err=
2026-02-12T19:21:11.391000+00:00 | 2026-02-12T16:21:11.391000-03:00 | info | whatsapp:connection | Connection closed | inst=0567bded-23f6-439f-b49f-773fa7f47419 | err=
2026-02-12T19:21:11.391000+00:00 | 2026-02-12T16:21:11.391000-03:00 | info | whatsapp:connection | Auth handshake, waiting for credentials to save | inst=0567bded-23f6-439f-b49f-773fa7f47419 | err=
2026-02-12T19:21:11.392000+00:00 | 2026-02-12T16:21:11.392000-03:00 | info | whatsapp-baileys | Instance disconnected | inst=0567bded-23f6-439f-b49f-773fa7f47419 | err=
2026-02-12T19:21:11.394000+00:00 | 2026-02-12T16:21:11.394000-03:00 | info | instance | Disconnected | inst=0567bded-23f6-439f-b49f-773fa7f47419 | err=
2026-02-12T19:21:12.248000+00:00 | 2026-02-12T16:21:12.248000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/status | inst= | err=
2026-02-12T19:21:12.252000+00:00 | 2026-02-12T16:21:12.252000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/qr | inst= | err=
